Putere,Greutate,Aerodinamica,Viteza_kmh,Consum_Score
400,800,0.2,347.43,20.4
398,800,0.2,346.81,20.314
393,800,0.2,345.41,20.121
383,800,0.2,342.35,19.703
377,800,0.2,340.6,19.466
374,800,0.2,339.74,19.352
369,800,0.2,338.3,19.161
369,800,0.2,338.3,19.16
362,800,0.2,336.13,18.876
361,801,0.2,335.89,18.848
356,800,0.2,334.4,18.651
351,828,0.2,332.73,18.52
347,800,0.2,331.64,18.298
342,800,0.2,329.76,18.061
340,800,0.2,329.14,17.983
337,800,0.2,328.17,17.862
326,800,0.2,324.6,17.422
325,800,0.2,324.32,17.389
318,800,0.2,322.03,17.113
317,800,0.2,321.8,17.085
309,800,0.2,318.96,16.749
305,800,0.2,317.83,16.617
301,800,0.2,316.4,16.451
300,800,0.2,316.08,16.413
293,800,0.2,313.35,16.102
288,800,0.2,311.63,15.909
284,800,0.2,310.46,15.778
280,800,0.2,308.88,15.604
273,800,0.2,306.18,15.309
268,800,0.2,304.53,15.133
267,800,0.2,303.95,15.071
262,800,0.2,302.22,14.89
261,800,0.2,301.71,14.834
257,800,0.2,300.16,14.673
251,800,0.2,298,14.45
246,800,0.2,296.04,14.251
241,800,0.2,293.84,14.032
237,800,0.2,292.18,13.867
232,800,0.2,290.44,13.698
232,800,0.2,290.27,13.682
227,800,0.2,288.37,13.498
222,800,0.2,285.9,13.264
220,800,0.2,285.13,13.192
217,800,0.2,283.73,13.063
213,800,0.2,282.04,12.907
209,800,0.2,280.36,12.755
206,800,0.2,279.16,12.646
203,800,0.2,277.76,12.521
200,800,0.2,276.55,12.416
198,800,0.2,275.48,12.32
196,800,0.2,274.67,12.252
193,800,0.2,273.04,12.11
188,800,0.2,270.97,11.935
185,800,0.2,269.37,11.8
180,800,0.2,267.06,11.61
177,800,0.2,265.48,11.482
173,800,0.2,263.48,11.321
168,800,0.2,260.81,11.11
163,800,0.2,258.19,10.908
158,801,0.2,255.97,10.742
155,801,0.2,254.26,10.614
153,801,0.2,253.1,10.528
150,800,0.2,251.13,10.385
145,800,0.2,248.64,10.207
142,800,0.2,246.99,10.09
139,800,0.2,244.95,9.949
135,800,0.2,242.87,9.808
133,800,0.2,241.4,9.709
128,800,0.2,238.75,9.535
128,800,0.2,238.68,9.53
123,800,0.2,235.68,9.337
119,800,0.2,233.15,9.178
116,800,0.2,230.97,9.044
114,800,0.2,229.33,8.945
111,800,0.2,227.52,8.837
108,800,0.2,225.78,8.735
106,800,0.2,224.47,8.658
104,800,0.2,222.8,8.563
103,800,0.2,222.32,8.537
101,800,0.2,220.31,8.425
97,800,0.2,217.91,8.292
92,800,0.2,213.98,8.083
87,800,0.2,210.15,7.888
81,800,0.2,204.92,7.632
79,800,0.2,203.71,7.574
77,800,0.2,201.73,7.483
75,801,0.201,200.13,7.426
71,800,0.2,196.73,7.255
70,800,0.2,195.44,7.199
69,800,0.2,194.36,7.153
67,800,0.2,192.35,7.069
63,802,0.2,188.92,6.932
63,802,0.2,188.92,6.932
60,800,0.2,186.24,6.822
58,800,0.2,183.76,6.723
55,800,0.2,180.8,6.612
53,800,0.2,177.73,6.502
53,800,0.2,177.73,6.502
50,800,0.2,174.92,6.4
50,800,0.2,174.92,6.4
